('2018-01-01', 2.75, 12.82, 4.45, 8.05)
('2018-01-02', 3.7, 13.92, 6.65, 10.2)
('2018-01-03', 6.95, 16.92, 9.55, 12.4)
('2018-01-04', 4.85, 17.27, 9.05, 12.15)
('2018-01-05', 7.3, 15.09, 9.5, 11.65)
('2018-01-06', 4.65, 13.75, 7.75, 8.55)
('2018-01-07', 3.0, 15.95, 6.9, 10.1)
('2018-01-08', 1.15, 16.33, 4.55, 8.7)
('2018-01-09', 1.9, 12.97, 4.4, 7.8)
('2018-01-10', 1.9, 12.02, 3.75, 8.0)
('2018-01-11', 1.35, 10.85, 2.45, 6.65)
('2018-01-12', 2.7, 11.09, 3.1, 5.35)
('2018-01-13', 1.65, 10.18, 2.3, 4.3)
('2018-01-14', 0.15, 9.92, 2.85, 6.2)
('2018-01-15', 2.7, 10.57, 2.85, 6.25)
('2018-01-16', 4.45, 13.3, 6.8, 10.4)
('2018-01-17', 2.2, 13.98, 2.3, 7.9)
('2018-01-18', 3.02, 11.35, 5.1, 7.4)
('2018-01-19', 3.6, 12.87, 3.85, 9.55)
('2018-01-20', 3.0, 12.72, 5.15, 8.05)
('2018-01-21', 3.7, 16.6, 6.9, 12.15)
('2018-01-22', 4.68, 16.55, 10.25, 12.65)
('2018-01-23', 5.05, 15.55, 6.15, 9.35)
('2018-01-24', 4.65, 13.12, 8.45, 13.05)
('2018-01-25', 5.3, 12.33, 7.15, 10.5)
('2018-01-26', 0.95, 12.87, 0.95, 8.2)
('2018-01-27', 0.82, 13.87, 1.7, 5.8)
('2018-01-28', -1.15, 12.54, -1.15, 3.2)
('2018-01-29', 1.8, 11.46, 1.8, 6.25)
('2018-01-30', 2.75, 12.12, 2.75, 10.4)
('2018-01-31', 3.55, 11.87, 4.75, 8.4)
('2018-02-01', 1.35, 11.68, 1.75, 7.0)
('2018-02-02', -1.45, 11.15, -1.3, 2.85)
('2018-02-03', -1.4, 9.17, -0.75, 5.2)
('2018-02-04', -1.07, 9.5, 0.05, 7.0)
('2018-02-05', -1.0, 10.82, -0.8, 1.6)
('2018-02-06', -1.8, 10.93, 0.25, 1.4)
('2018-02-07', -4.35, 9.34, -3.9, 0.95)
('2018-02-08', -5.35, 9.38, -3.7, 2.65)
('2018-02-09', -4.3, 9.11, -1.0, -1.3)
('2018-02-10', -2.45, 8.8, -1.8, 1.85)
('2018-02-11', -1.25, 10.48, -1.2, 3.25)
('2018-02-12', -2.1, 10.88, -2.1, 3.75)
('2018-02-13', -5.3, 7.52, -5.3, -0.8)
('2018-02-14', -1.75, 9.08, -0.55, 3.35)
('2018-02-15', 1.48, 15.45, 6.5, 10.1)
('2018-02-16', 3.05, 14.45, 7.55, 11.9)
('2018-02-17', 1.35, 12.61, 6.3, 9.55)
('2018-02-18', -2.72, 11.83, 2.6, 5.5)
('2018-02-19', -1.6, 11.15, 1.95, 5.95)
('2018-02-20', -0.27, 11.08, 2.25, 10.0)
('2018-02-21', -3.05, 8.62, -3.05, 4.55)
('2018-02-22', -3.35, 7.3, -3.35, 3.1)
('2018-02-23', -3.25, 8.26, -3.25, 4.65)
('2018-02-24', -0.55, 9.14, 0.3, 3.75)
('2018-02-25', -3.1, 11.3, -3.1, 3.5)
('2018-02-26', -7.6, 7.85, -7.6, -1.25)
('2018-02-27', -10.3, 2.15, -10.3, -3.0)
('2018-02-28', -7.65, 5.98, -7.4, -0.35)
('2018-03-01', -4.12, 10.85, 3.45, 9.75)
('2018-03-02', -2.95, 11.88, 4.35, 10.3)
('2018-03-03', -1.9, 13.9, 4.95, 11.4)
('2018-03-04', 3.1, 12.18, 4.75, 9.1)
('2018-03-05', 3.3, 12.43, 3.7, 7.25)
('2018-03-06', 2.96, 11.64, 5.85, 9.8)
('2018-03-07', 2.15, 12.22, 4.0, 8.05)
('2018-03-08', 3.05, 12.48, 3.05, 8.25)
('2018-03-09', 6.65, 15.63, 7.0, 13.45)
('2018-03-10', 9.47, 17.5, 10.9, 16.35)
('2018-03-11', 7.88, 16.65, 10.9, 12.75)
('2018-03-12', 4.05, 13.3, 6.95, 10.5)
('2018-03-13', 3.15, 13.8, 4.9, 10.15)
('2018-03-14', 4.55, 13.4, 4.8, 9.2)
('2018-03-15', 4.55, 15.82, 6.05, 12.8)
('2018-03-16', 5.6, 14.46, 6.0, 11.1)
('2018-03-17', -0.28, 12.24, 5.3, 6.7)
('2018-03-18', -2.45, 10.54, 3.55, 8.5)
('2018-03-19', -0.9, 11.22, 2.75, 4.45)
('2018-03-20', -1.2, 9.79, -0.15, 5.3)
('2018-03-21', -1.19, 8.84, 0.7, 5.65)
('2018-03-22', -0.65, 9.14, 0.25, 4.3)
('2018-03-23', 2.45, 11.87, 4.35, 3.3)
('2018-03-24', 1.65, 10.27, 2.2, 7.85)
('2018-03-25', 4.84, 11.6, 5.25, 9.3)
('2018-03-26', 4.66, 13.6, 5.4, 7.1)
('2018-03-27', 3.7, 13.41, 5.0, 8.4)
('2018-03-28', 6.3, 15.9, 10.2, 12.1)
('2018-03-29', 5.15, 15.59, 7.3, 9.6)
('2018-03-30', 4.1, 14.67, 4.6, 7.75)
('2018-03-31', 2.1, 12.94, 2.1, 6.35)
('2018-04-01', 4.19, 13.26, 5.05, 8.55)
('2018-04-02', 5.2, 16.87, 5.2, 12.1)
('2018-04-03', 7.0, 17.17, 9.05, 15.6)
('2018-04-04', 9.3, 17.15, 11.5, 15.1)
('2018-04-05', 7.22, 15.45, 9.05, 13.05)
('2018-04-06', 7.65, 16.73, 7.65, 13.05)
('2018-04-07', 10.1, 18.05, 12.4, 17.15)
('2018-04-08', 9.2, 17.7, 12.6, 14.3)
('2018-04-09', 8.55, 15.42, 9.45, 12.55)
('2018-04-10', 5.2, 14.3, 7.0, 11.9)
('2018-04-11', 4.35, 13.85, 6.35, 13.4)
('2018-04-12', 4.2, 14.55, 5.45, 11.25)
('2018-04-13', 4.8, 14.42, 6.05, 13.55)
('2018-04-14', 7.65, 16.6, 8.3, 14.85)
('2018-04-15', 9.45, 17.61, 11.55, 12.55)
('2018-04-16', 9.7, 17.2, 9.7, 15.6)
('2018-04-17', 10.05, 18.7, 10.05, 15.35)
('2018-04-18', 12.75, 19.7, 12.75, 17.7)
('2018-04-19', 13.39, 21.05, 14.55, 18.2)
('2018-04-20', 12.9, 22.1, 14.5, 18.7)
('2018-04-21', 15.05, 22.4, 15.05, 19.3)
('2018-04-22', 13.15, 21.5, 14.3, 18.55)
('2018-04-23', 10.42, 19.8, 14.95, 19.8)
('2018-04-24', 10.9, 20.43, 14.4, 18.1)
('2018-04-25', 10.68, 19.85, 13.7, 14.9)
('2018-04-26', 9.43, 19.27, 9.8, 12.9)
('2018-04-27', 9.15, 18.18, 10.2, 11.75)
('2018-04-28', 6.5, 18.65, 13.45, 12.6)
('2018-04-29', 7.95, 18.82, 10.15, 11.3)
('2018-04-30', 3.6, 17.72, 8.2, 11.05)
('2018-05-01', 4.7, 14.27, 4.7, 11.85)
('2018-05-02', 6.9, 15.12, 7.0, 10.3)
('2018-05-03', 7.45, 17.58, 7.75, 12.25)
('2018-05-04', 8.73, 19.23, 10.5, 15.2)
('2018-05-05', 11.51, 20.5, 14.85, 17.55)
('2018-05-06', 13.22, 21.45, 15.45, 17.75)
('2018-05-07', 14.26, 21.45, 15.65, 19.59)
('2018-05-08', 11.91, 21.9, 13.75, 18.4)
('2018-05-09', 11.14, 19.7, 14.1, 15.85)
('2018-05-10', 10.25, 18.76, 10.95, 14.1)
('2018-05-11', 10.66, 18.5, 12.95, 14.75)
('2018-05-12', 9.7, 19.05, 11.55, 13.25)
('2018-05-13', 1.6, 17.76, 2.25, 11.3)
('2018-05-14', 4.2, 14.4, 5.7, 9.85)
('2018-05-15', 7.75, 17.6, 10.7, 13.05)
('2018-05-16', 9.99, 18.17, 10.95, 16.6)
('2018-05-17', 10.4, 19.58, 10.4, 16.7)
('2018-05-18', 9.68, 18.35, 14.15, 17.25)
('2018-05-19', 9.88, 19.9, 12.8, 17.35)
('2018-05-20', 10.77, 19.35, 12.05, 17.2)
('2018-05-21', 13.15, 19.4, 15.1, 17.95)
('2018-05-22', 13.3, 19.88, 13.3, 19.2)
('2018-05-23', 13.01, 19.95, 13.75, 19.95)
('2018-05-24', 13.05, 20.9, 13.05, 17.25)
('2018-05-25', 14.06, 21.5, 16.2, 19.75)
('2018-05-26', 14.67, 23.8, 18.15, 20.5)
('2018-05-27', 16.1, 23.7, 18.75, 17.25)
('2018-05-28', 12.85, 24.05, 12.85, 19.25)
('2018-05-29', 14.05, 21.3, 14.05, 18.4)
('2018-05-30', 12.25, 22.62, 12.25, 17.9)
('2018-05-31', 12.95, 22.05, 12.95, 18.25)
('2018-06-01', 14.25, 21.02, 14.25, 20.0)
('2018-06-02', 13.98, 21.85, 17.25, 20.0)
('2018-06-03', 15.85, 22.1, 15.85, 20.7)
('2018-06-04', 14.7, 23.2, 14.7, 20.6)
('2018-06-05', 13.43, 22.6, 15.2, 19.95)
('2018-06-06', 13.02, 23.15, 15.85, 19.5)
('2018-06-07', 14.15, 22.08, 14.6, 20.25)
('2018-06-08', 15.2, 22.12, 15.2, 20.5)
('2018-06-09', 15.05, 23.4, 18.85, 22.95)
('2018-06-10', 15.4, 24.33, 18.9, 21.75)
('2018-06-11', 14.65, 23.39, 15.45, 19.75)
('2018-06-12', 12.95, 22.63, 13.5, 17.95)
('2018-06-13', 13.5, 22.42, 13.9, 19.6)
('2018-06-14', 12.6, 21.88, 13.9, 16.0)
('2018-06-15', 13.82, 23.52, 14.2, 19.15)
('2018-06-16', 14.63, 24.08, 15.85, 18.9)
('2018-06-17', 14.5, 23.76, 16.65, 18.4)
('2018-06-18', 13.5, 23.86, 13.5, 18.5)
('2018-06-19', 15.95, 25.78, 16.8, 22.4)
('2018-06-20', 15.48, 26.0, 19.6, 23.9)
('2018-06-21', 14.05, 25.9, 20.3, 24.4)
('2018-06-22', 12.5, 26.38, 15.3, 21.0)
('2018-06-23', 12.55, 24.0, 13.2, 20.45)
('2018-06-24', 13.85, 22.65, 13.85, 19.9)
('2018-06-25', 14.4, 23.38, 14.4, 21.05)
('2018-06-26', 16.05, 24.98, 16.05, 22.9)
('2018-06-27', 17.05, 24.7, 17.95, 23.25)
('2018-06-28', 17.05, 26.35, 17.05, 22.35)
('2018-06-29', 16.5, 25.0, 16.5, 22.7)
('2018-06-30', 17.6, 26.97, 19.95, 25.25)
('2018-07-01', 18.98, 28.15, 20.85, 24.85)
('2018-07-02', 18.25, 27.68, 20.5, 25.05)
('2018-07-03', 17.07, 26.2, 20.55, 23.4)
('2018-07-04', 18.2, 26.33, 19.7, 24.4)
('2018-07-05', 16.3, 25.39, 16.85, 20.6)
('2018-07-06', 17.04, 26.05, 18.25, 21.65)
('2018-07-07', 17.92, 26.82, 18.2, 22.9)
('2018-07-08', 18.75, 28.18, 18.75, 23.15)
('2018-07-09', 18.25, 28.48, 18.25, 22.45)
('2018-07-10', 16.0, 27.85, 17.85, 22.0)
('2018-07-11', 15.05, 27.9, 15.9, 20.9)
('2018-07-12', 15.5, 25.15, 15.5, 20.85)
('2018-07-13', 16.65, 25.85, 18.45, 21.75)
('2018-07-14', 16.73, 27.08, 20.15, 23.5)
('2018-07-15', 17.01, 26.78, 20.9, 25.05)
('2018-07-16', 16.8, 26.75, 17.95, 21.55)
('2018-07-17', 16.86, 27.5, 19.45, 22.7)
('2018-07-18', 16.43, 27.22, 17.9, 22.95)
('2018-07-19', 17.25, 27.85, 20.25, 24.5)
('2018-07-20', 16.96, 27.55, 20.4, 23.35)
('2018-07-21', 16.7, 25.78, 16.7, 19.2)
('2018-07-22', 16.2, 25.49, 17.75, 19.8)
('2018-07-23', 18.37, 27.45, 18.6, 22.5)
('2018-07-24', 18.76, 26.53, 19.55, 24.2)
('2018-07-25', 18.35, 29.33, 20.65, 24.9)
('2018-07-26', 19.45, 29.3, 20.7, 26.55)
('2018-07-27', 19.06, 29.29, 22.6, 25.9)
('2018-07-28', 17.25, 27.6, 19.8, 22.25)
('2018-07-29', 17.94, 27.75, 21.25, 23.25)
('2018-07-30', 18.73, 28.5, 22.45, 23.8)
('2018-07-31', 17.02, 29.31, 21.75, 24.2)
('2018-08-01', 16.5, 30.95, 21.9, 26.75)
('2018-08-02', 16.9, 31.28, 22.0, 27.3)
('2018-08-03', 18.69, 30.75, 22.3, 27.5)
('2018-08-04', 18.78, 32.72, 23.6, 28.6)
('2018-08-05', 19.4, 32.0, 23.15, 27.65)
('2018-08-06', 18.7, 29.12, 22.95, 27.8)
('2018-08-07', 17.63, 29.8, 22.45, 26.25)
('2018-08-08', 16.96, 28.6, 22.85, 24.1)
('2018-08-09', 15.9, 27.3, 18.3, 20.25)
('2018-08-10', 15.05, 27.95, 15.6, 18.8)
('2018-08-11', 15.95, 27.21, 15.95, 19.4)
('2018-08-12', 17.48, 26.51, 19.35, 23.1)
('2018-08-13', 17.7, 25.96, 18.95, 22.35)
('2018-08-14', 17.3, 25.44, 17.75, 22.2)
('2018-08-15', 17.05, 26.12, 17.05, 21.5)
('2018-08-16', 17.18, 26.36, 19.05, 22.55)
('2018-08-17', 15.68, 26.25, 18.8, 21.3)
('2018-08-18', 16.07, 25.87, 18.9, 23.0)
('2018-08-19', 17.17, 27.52, 17.65, 21.9)
('2018-08-20', 18.3, 27.8, 18.3, 22.45)
('2018-08-21', 18.42, 28.5, 20.45, 24.4)
('2018-08-22', 17.62, 27.55, 21.25, 25.65)
('2018-08-23', 17.6, 26.71, 21.2, 24.25)
('2018-08-24', 15.77, 27.0, 19.1, 20.5)
('2018-08-25', 10.9, 26.2, 12.1, 14.65)
('2018-08-26', 12.72, 24.84, 13.05, 19.25)
('2018-08-27', 14.17, 24.67, 15.6, 20.25)
('2018-08-28', 15.15, 27.18, 19.8, 24.95)
('2018-08-29', 15.62, 26.75, 20.9, 21.6)
('2018-08-30', 13.44, 25.72, 15.1, 17.95)
('2018-08-31', 12.84, 25.05, 14.2, 19.45)
('2018-09-01', 10.57, 24.35, 12.55, 17.9)
('2018-09-02', 10.97, 21.9, 14.15, 18.05)
('2018-09-03', 12.14, 22.51, 14.3, 19.4)
('2018-09-04', 13.6, 23.08, 15.75, 20.5)
('2018-09-05', 15.1, 23.94, 16.5, 19.4)
('2018-09-06', 14.26, 24.4, 14.4, 17.7)
('2018-09-07', 13.8, 24.52, 16.85, 20.45)
('2018-09-08', 14.2, 23.68, 14.35, 19.3)
('2018-09-09', 15.6, 23.64, 16.0, 18.65)
('2018-09-10', 16.61, 24.66, 18.1, 22.15)
('2018-09-11', 17.26, 25.18, 18.15, 23.05)
('2018-09-12', 15.64, 24.9, 19.15, 22.95)
('2018-09-13', 15.22, 25.33, 17.75, 20.1)
('2018-09-14', 13.13, 25.08, 16.25, 21.4)
('2018-09-15', 13.3, 24.53, 14.5, 19.15)
('2018-09-16', 14.7, 23.7, 15.15, 19.9)
('2018-09-17', 16.53, 25.8, 17.65, 23.2)
('2018-09-18', 16.49, 24.5, 17.8, 22.8)
('2018-09-19', 17.09, 24.4, 18.0, 23.45)
('2018-09-20', 17.18, 25.58, 19.3, 23.55)
('2018-09-21', 14.65, 25.29, 16.55, 19.35)
('2018-09-22', 12.29, 25.66, 15.1, 18.55)
('2018-09-23', 11.75, 27.03, 18.4, 19.55)
('2018-09-24', 9.94, 24.58, 10.2, 15.65)
('2018-09-25', 9.25, 22.23, 9.45, 16.0)
('2018-09-26', 10.6, 20.34, 12.5, 17.7)
('2018-09-27', 13.25, 24.97, 15.0, 18.3)
('2018-09-28', 12.5, 21.95, 14.35, 19.6)
('2018-09-29', 10.85, 22.82, 11.3, 18.35)
('2018-09-30', 8.85, 21.59, 10.75, 16.0)
('2018-10-01', 7.65, 20.56, 7.7, 11.8)
('2018-10-02', 6.8, 18.66, 7.15, 10.45)
('2018-10-03', 10.6, 20.85, 10.6, 15.25)
('2018-10-04', 11.68, 20.23, 15.95, 17.0)
('2018-10-05', 13.8, 21.7, 14.55, 18.4)
('2018-10-06', 12.25, 21.3, 14.55, 18.35)
('2018-10-07', 9.05, 19.23, 10.1, 14.45)
('2018-10-08', 10.1, 20.83, 12.3, 16.15)
('2018-10-09', 11.9, 20.95, 15.25, 18.1)
('2018-10-10', 10.75, 20.69, 10.75, 18.4)
('2018-10-11', 13.05, 21.72, 14.5, 19.65)
('2018-10-12', 15.45, 23.0, 16.15, 23.0)
('2018-10-13', 14.75, 22.72, 14.85, 19.65)
('2018-10-14', 12.68, 22.3, 14.85, 21.85)
('2018-10-15', 12.2, 21.75, 14.15, 16.45)
('2018-10-16', 12.85, 20.35, 13.65, 18.7)
('2018-10-17', 12.3, 19.93, 12.3, 17.3)
('2018-10-18', 12.7, 20.65, 13.75, 19.9)
('2018-10-19', 11.7, 21.13, 12.9, 16.3)
('2018-10-20', 10.22, 20.1, 11.35, 17.05)
('2018-10-21', 9.4, 19.8, 9.9, 14.45)
('2018-10-22', 7.02, 19.25, 9.05, 12.85)
('2018-10-23', 7.45, 19.28, 8.2, 13.6)
('2018-10-24', 6.9, 21.15, 8.9, 13.8)
('2018-10-25', 7.85, 21.52, 11.4, 16.0)
('2018-10-26', 5.6, 19.64, 9.7, 10.7)
('2018-10-27', 4.2, 18.75, 4.7, 9.5)
('2018-10-28', 1.1, 19.07, 1.1, 6.65)
('2018-10-29', 0.6, 17.58, 0.6, 5.5)
('2018-10-30', 2.9, 14.54, 2.9, 8.55)
('2018-10-31', 4.05, 16.81, 4.95, 9.7)
('2018-11-01', 5.65, 17.41, 5.7, 10.85)
('2018-11-02', 4.7, 16.94, 4.7, 11.1)
('2018-11-03', 3.72, 16.57, 5.8, 8.15)
('2018-11-04', 5.15, 17.64, 7.65, 10.5)
('2018-11-05', 7.5, 17.55, 9.85, 15.0)
('2018-11-06', 7.55, 16.71, 8.05, 12.0)
('2018-11-07', 6.25, 15.42, 8.05, 11.3)
('2018-11-08', 5.6, 16.22, 5.6, 9.55)
('2018-11-09', 8.35, 16.66, 9.05, 9.2)
('2018-11-10', 8.29, 16.89, 10.95, 11.75)
('2018-11-11', 10.65, 17.47, 11.25, 13.65)
('2018-11-12', 9.85, 18.92, 13.5, 16.25)
('2018-11-13', 8.85, 18.58, 11.85, 14.05)
('2018-11-14', 4.1, 17.05, 10.8, 13.5)
('2018-11-15', 4.4, 17.02, 8.9, 13.85)
('2018-11-16', 3.78, 15.85, 7.25, 12.45)
('2018-11-17', 2.17, 14.95, 5.5, 10.45)
('2018-11-18', -0.05, 12.31, -0.05, 9.95)
('2018-11-19', -1.4, 11.34, -1.4, 5.35)
('2018-11-20', 0.12, 13.14, 2.1, 2.4)
('2018-11-21', -0.9, 13.71, 4.95, 2.65)
('2018-11-22', 0.65, 14.89, 4.4, 8.2)
('2018-11-23', 0.1, 16.38, 3.7, 7.15)
('2018-11-24', 4.1, 15.49, 4.1, 7.45)
('2018-11-25', 1.55, 14.48, 1.55, 6.3)
('2018-11-26', 2.65, 13.99, 2.75, 7.9)
('2018-11-27', 2.45, 12.65, 2.45, 7.2)
('2018-11-28', 3.03, 13.28, 3.65, 9.85)
('2018-11-29', 4.65, 13.67, 5.95, 10.55)
('2018-11-30', 2.85, 12.22, 4.85, 10.55)
('2018-12-01', 3.6, 12.62, 4.4, 9.8)
('2018-12-02', 4.47, 14.65, 7.35, 11.45)
('2018-12-03', 8.95, 15.87, 11.1, 13.7)
('2018-12-04', 6.95, 16.65, 7.2, 12.8)
('2018-12-05', 5.35, 14.3, 5.85, 8.15)
('2018-12-06', 6.65, 14.48, 8.8, 11.95)
('2018-12-07', 6.25, 13.75, 6.6, 11.45)
('2018-12-08', 4.15, 14.16, 5.8, 7.65)
('2018-12-09', 5.05, 14.56, 6.7, 11.0)
('2018-12-10', 3.26, 14.63, 3.9, 8.65)
('2018-12-11', 0.85, 12.07, 0.85, 5.1)
('2018-12-12', -2.7, 10.86, 0.65, 3.3)
('2018-12-13', -2.91, 9.97, -0.75, 6.1)
('2018-12-14', -3.65, 11.02, -0.1, 2.1)
('2018-12-15', -1.3, 11.83, 0.1, 2.45)
('2018-12-16', 0.85, 10.95, 3.8, 7.2)
('2018-12-17', 2.49, 11.98, 3.2, 6.5)
('2018-12-18', 1.05, 11.15, 1.2, 5.6)
